DATEREAD,COLLECTOR,DEPTH,COMMENT,SURFACE,METER1,METER2,METER3,METER4,METER5,METER6,METER7,METER8,METER9,METER10,METER11,METER12,BOTTOM,SECCHI
1983-12-19,PCH,0,"clear, sunny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5
1983-12-23,PCH,0,"clear, sunny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1983-12-30,PCH,0,"clear, sunny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1984-01-09,DS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1984-01-17,PCH,0,"clear, sunny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5
1984-01-25,PCH,0,"clear, sunny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
1984-02-01,PCH,0,"clear, sunny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5
1984-02-16,PCH,0,"partly cloudy, snow melted.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5
1984-02-23,PCH,0,clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5
1984-02-29,PCH,0,partly cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1984-03-05,DS,0,,0,40.4,40.2,40.4,40.1,39.8,39.6,39.6,39.5,39.4,39.4,39.5,0,0,0
1984-03-16,PCH,0,partly cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1984-03-21,DS,13,"cloudy, fog; light.  2/3m reading 4.83, 40.23F",32,37.8,37.8,37.8,37.8,37.6,37.6,37.5,37.5,37.5,37.5,37.5,37.4,37.8,0
1984-03-26,PCH,0,clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5
1984-03-28,DS,42.7,"cloudy.  2/3m reading 4.76, 40.64F",38.1,38.2,38.2,38.2,38.2,38.2,37.9,37.6,37.5,37.5,37.5,37.5,37.5,37.8,0
1984-04-02,PCH,0,clear with snow cover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1984-04-06,PCH,0,"2/3 reading 5.14, 37.80F; 13 reading 4.81, 40.35F",33.4,36.7,37.3,37.5,37.8,37.9,37.9,37.5,37.5,37.5,37.5,37.5,37.5,38,0
1984-04-10,PCH,0,"partly cloudy, bright, ice 50% out.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1984-04-11,PCH,0,"clear, ice 90% out.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5
1984-04-17,PCH,0,"partly cloudy, bright, ice out",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
1984-04-18,PCH,0,clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5
1984-04-29,DS,0,color: parrot green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1984-05-02,PCH,0,clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1984-05-09,PCH,0,partly cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5
1984-05-11,PCH,0,partly cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1984-05-15,PCH,0,partly cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2
1984-05-23,PCH,0,"cloudy, moderate wind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5
1984-05-25,PCH,0,"cclear, moderate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
1984-05-30,PCC,0,"fog, rain, light wind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1984-05-31,PCH,0,"partly cloudy, light wind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3
1984-06-01,PCH,0,"partly cloudy, light wind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5
1984-06-04,PCH,0,"mostly clear, light wind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
1984-06-06,PCH,0,"mostly clear, calm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
1984-06-09,DS,42.7,,69.7,69.5,62.5,58.9,56.3,52.8,49.3,45.7,43.5,41.9,40.8,40.2,40,39.9,0
1984-06-11,PCH,0,"clear, light wind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1984-06-13,PCH,0,"clear, calm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1984-06-14,DS,0,"2/3 reading 2.08, 76.4F",73.7,69.5,62.3,0,57.4,53.4,49.9,46.3,43.7,42.4,41.5,40.7,40.3,40.1,0
1984-06-19,PCH,0,"clear, light wind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3
1984-06-25,PCH,0,"clear, calm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1984-07-02,PCH,0,"clear, calm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1984-07-09,DS,12.5,0810H,68.1,68.1,68.1,68.1,65.5,59.4,51.5,47.9,44.9,43.3,42.1,41.2,40.6,40.6,0
1984-07-10,DS,0,0815H,68.1,68.3,68.3,68.1,65.7,58.8,52.6,47.8,45.3,43.5,41.9,41.1,40.7,0,0
1984-07-11,DS,0,1615H,72.8,72.2,72,68.9,65.5,58.1,52.4,48.4,45.1,42.8,41.7,41.1,40.7,0,0
1984-07-12,PCH,12.7,1605H,75.7,71.7,70.9,69.5,65.7,58.2,52,47.6,45.3,43.8,42.8,41.6,40.9,40.5,7.2
1984-07-17,PCH,0,"clear, calm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1984-07-19,PCH,0,"clear, calm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
1984-07-20,PCH,0,"clear, calm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1984-07-23,PCH,0,"clear, calm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
1984-07-25,PCH,0,"clear, calm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1984-07-26,DS,0,0820H,70.7,71.1,71.1,70.9,67.9,59.8,53.2,48.6,45.7,43.4,41.8,41.1,40.8,0,0
1984-07-30,DS,0,1715H,72,72.2,70.1,69.3,67.6,60.3,54,48.9,45.4,43.2,41.6,41,40.8,0,8
1984-07-31,PCH,0,1600H,73.7,73.3,71.3,69.9,67.6,58.9,53.4,48.9,45.7,43.4,41.9,41.1,40.7,0,0
1984-08-01,PCH,0,1600H,74.1,73.3,70.7,70.1,68.7,60.9,52.2,47.6,45.2,43.8,42.4,41.3,40.8,0,9
1984-08-02,DS,0,1615H,75.3,73.3,72,70.3,67.4,62.3,53.6,47.9,45.8,43.8,42.6,41.6,40.9,0,0
1984-08-03,PCH,12.5,1610H,75.1,73.7,72.6,70.9,68.3,61.1,53,48.5,45.7,44,42.8,41.8,41,40.7,10
1984-08-04,DS,0,1745H,77.6,76,74.1,70.5,68.7,62.2,53.5,48.9,45.8,44.2,42.8,41.5,40.9,0,0
