DATEREAD,COLLECTOR,DEPTH,COMMENT,SURFACE,METER1,METER2,METER3,METER4,METER5,METER6,METER7,METER8,METER9,METER10,METER11,METER12,BOTTOM,SECCHI
2018-01-31,RD,12.4,,32.9,36.6,37.4,37.6,37.6,37.6,37.6,37.5,37.6,37.9,38.1,38.2,38.4,38.4,22.5
2018-02-01,KRP,,,,,,,,,,,,,,,,,
2018-02-12,RD,12.5,,34.3,36.4,37.6,37.9,38,38,38.1,38.1,38.2,38.2,38.3,38.1,38.2,38.3,25
2018-02-19,RD,12.5,,32.7,37.5,38.3,38.4,38.4,38.4,38.4,38.3,38.3,38.4,38.4,38.4,38.5,38.5,20
2018-02-26,RD,12.6,,33.6,38.3,38.8,38.8,38.8,38.8,38.8,38.5,38.6,38.6,38.6,38.6,38.8,38.8,20
2018-03-06,RD,13.6,,38.4,38.8,38.8,38.8,38.8,38.8,38.9,38.9,38.9,38.9,38.9,38.9,39,39.1,18
2018-03-11,RD,12.5,,38.8,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.7,38.7,38.8,20
2018-03-20,RD,12.7,,38.4,38.3,38.3,38.3,38.3,38.3,38.3,38.4,38.4,38.4,38.4,38.4,38.4,38.6,15
2018-03-27,RD,12.6,,36.1,37.3,37.6,37.7,37.8,37.9,38,38,38,38.2,38.2,38.3,38.3,38.4,15
2018-04-02,RD,12.7,,40.5,39.8,39.5,39.4,39.4,39.3,39.3,39.3,39.2,39.2,39.2,39.2,39.2,39.2,15
2018-04-02,RC,,,,,,,,,,,,,,,,,
2018-04-27,RD,12.6,,49.1,48.8,48.5,47.6,45.1,42.5,41.6,41,40.8,40.6,40.5,40.5,40.5,40.5,15
2018-05-04,RD,12.6,,63.9,63.1,53.4,50.3,47.3,44.1,42.6,41.6,41.1,40.8,40.7,40.6,40.6,40.5,15
2018-05-08,RD,12.6,,61.8,59.2,58.3,54.2,48.8,44.6,42.6,41.6,41.1,40.9,40.7,40.6,40.6,40.6,15
2018-05-15,RD,12.7,,64.3,62.7,60,51.5,48.8,46.7,44.8,43.1,41.9,41.4,40.9,40.8,40.7,40.7,10
2018-05-25,RD,12.6,,70.2,69.6,64.6,59.5,52.4,46.6,43.7,42.1,41.7,41.2,40.9,40.8,40.8,40.8,12.5
2018-06-01,RD,12.6,,73.9,72.2,69.1,60.7,54.7,48,44.9,42.7,41.9,41.5,41.1,41,40.9,40.9,12.5
2018-06-08,RD,12.6,,70.3,67.6,65.9,63.4,55.3,49.7,46.1,43.6,42.3,41.7,41.3,41.1,41,41,20
2018-06-15,RD,12.6,,67.4,66.7,66.3,66.1,59.8,50.6,45.8,43.6,42.6,41.9,41.5,41.1,41.1,41.1,20
2018-06-22,RD,12.4,,73.6,73.4,73.3,70.8,60.9,52.5,47.8,44.9,43.5,42.7,42.2,41.4,41.3,41.3,20
