station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],precip_local [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],solar_insolation_total [MJ/m^2]
HFAL,2017-10-01 01:00:00 EDT,9.7,8.8,9.1,84.2,79.7,82.5,0.00,0.00,0.5,1.9,90.6,0.8,2.3,89.8,0,1005.35,1005.20,1005.27,0.0
HFAL,2017-10-01 02:00:00 EDT,8.8,7.6,8.3,89.7,83.6,86.0,0.00,0.00,0.4,1.5,88.2,0.6,2.1,87.5,0,1005.29,1005.16,1005.23,0.0
HFAL,2017-10-01 03:00:00 EDT,7.5,6.7,7.0,94.4,90.1,92.2,0.00,0.00,0.5,1.6,181.1,0.7,1.7,181.0,0,1005.26,1004.98,1005.11,0.0
HFAL,2017-10-01 04:00:00 EDT,6.7,6.3,6.4,95.8,93.5,94.9,0.00,0.00,0.8,2.4,215.6,1.0,3.0,218.9,0,1005.20,1005.06,1005.13,0.0
HFAL,2017-10-01 05:00:00 EDT,6.6,5.8,6.3,94.9,93.7,94.5,0.00,0.00,0.4,2.2,218.9,0.5,2.6,220.1,0,1005.56,1005.20,1005.39,0.0
HFAL,2017-10-01 06:00:00 EDT,5.9,4.3,5.1,96.8,95.3,96.2,0.00,0.00,0.1,1.4,231.5,0.2,1.6,238.4,0,1005.56,1005.49,1005.53,0.0
HFAL,2017-10-01 07:00:00 EDT,5.3,4.2,4.7,97.8,97.0,97.3,0.00,0.00,0.3,1.8,226.7,0.5,2.2,223.3,1,1005.82,1005.52,1005.65,0.0
HFAL,2017-10-01 08:00:00 EDT,5.6,5.0,5.3,96.8,92.3,94.2,0.00,0.00,0.7,2.8,213.9,0.9,3.5,217.0,15,1006.31,1005.82,1006.05,0.1
HFAL,2017-10-01 09:00:00 EDT,7.0,5.7,6.4,92.4,86.9,89.0,0.00,0.00,0.9,2.8,215.2,1.1,3.3,218.7,26,1006.57,1006.40,1006.47,0.1
HFAL,2017-10-01 10:00:00 EDT,9.7,7.0,8.3,86.6,75.1,80.1,0.00,0.00,0.6,2.0,281.0,0.8,2.6,287.8,347,1006.82,1006.51,1006.63,1.2
