Date,IceIn,IceOut,IceThickness_in,IceCover_Percent,Notes,Lowest _Air_Temperature_For_That_Month_degF,Highest _Air_Temperature_For_That_Month_degF
1/1/1931,NA,NA,,,,,
1/2/1931,NA,NA,,,,,
1/3/1931,NA,NA,,,,,
1/4/1931,NA,NA,,,,,
1/5/1931,NA,NA,,,,,
1/6/1931,NA,NA,,,,,
1/7/1931,NA,NA,,,,,
1/8/1931,NA,NA,,,,,
1/9/1931,NA,NA,,,,,
1/10/1931,NA,NA,,,,,
1/11/1931,NA,NA,,,,,
1/12/1931,NA,NA,,,,,
1/13/1931,NA,NA,,,,,
1/14/1931,NA,NA,,,,,
1/15/1931,NA,NA,,,,,
1/16/1931,NA,NA,,,,,
1/17/1931,NA,NA,,,,,
1/18/1931,NA,NA,,,,,
1/19/1931,NA,NA,,,,,
1/20/1931,NA,NA,,,,,
1/21/1931,NA,NA,,,,,
1/22/1931,NA,NA,,,,,
1/23/1931,NA,NA,,,,,
1/24/1931,NA,NA,,,,,
1/25/1931,NA,NA,,,,,
1/26/1931,NA,NA,,,,,
1/27/1931,NA,NA,,,,,
1/28/1931,NA,NA,,,,,
1/29/1931,NA,NA,,,,,
1/30/1931,NA,NA,,,,,
1/31/1931,NA,NA,,,,,
2/1/1931,NA,NA,,,,,
2/2/1931,NA,NA,,,,,
2/3/1931,NA,NA,,,,,
2/4/1931,NA,NA,,,,,
2/5/1931,NA,NA,,,,,
2/6/1931,NA,NA,,,,,
2/7/1931,NA,NA,,,,,
2/8/1931,NA,NA,,,,,
2/9/1931,NA,NA,,,,,
2/10/1931,NA,NA,,,,,
2/11/1931,NA,NA,,,,,
2/12/1931,NA,NA,,,,,
2/13/1931,NA,NA,,,,,
2/14/1931,NA,NA,,,,,
2/15/1931,NA,NA,,,,,
2/16/1931,NA,NA,,,,,
2/17/1931,NA,NA,,,,,
2/18/1931,NA,NA,,,,,
2/19/1931,NA,NA,,,,,
2/20/1931,NA,NA,,,,,
2/21/1931,NA,NA,,,,,
2/22/1931,NA,NA,,,,,
2/23/1931,NA,NA,,,,,
2/24/1931,NA,NA,,,,,
2/25/1931,NA,NA,,,,,
2/26/1931,NA,NA,,,,,
2/27/1931,NA,NA,,,,,
2/28/1931,NA,NA,,,,,
3/1/1931,NA,NA,,,,,
3/2/1931,NA,NA,,,,,
3/3/1931,NA,NA,,,,,
3/4/1931,NA,NA,,,,,
3/5/1931,NA,NA,,,,,
3/6/1931,NA,NA,,,,,
3/7/1931,NA,NA,,,,,
3/8/1931,NA,NA,,,,,
3/9/1931,NA,NA,,,,,
3/10/1931,NA,NA,,,,,
3/11/1931,NA,NA,,,,,
3/12/1931,NA,NA,,,,,
3/13/1931,NA,NA,,,,,
3/14/1931,NA,NA,,,,,
3/15/1931,NA,NA,,,,,
3/16/1931,NA,NA,,,,,
3/17/1931,NA,NA,,,,,
3/18/1931,NA,NA,,,,,
3/19/1931,NA,NA,,,,,
3/20/1931,NA,NA,,,,,
3/21/1931,NA,NA,,,,,
3/22/1931,NA,NA,,,,,
3/23/1931,NA,NA,,,,,
3/24/1931,NA,NA,,,,,
3/25/1931,NA,NA,,,,,
3/26/1931,NA,NA,,,,,
3/27/1931,NA,NA,,,,,
3/28/1931,NA,NA,,,,,
3/29/1931,NA,NA,,,,,
3/30/1931,NA,NA,,,,,
3/31/1931,NA,NA,,,,,
4/1/1931,NA,NA,,,,,
4/2/1931,NA,NA,,,,,
