ICEIN_1,ICEOUT_1,ICEIN_2,ICEOUT_2,ICEIN_3,ICEOUT_3,Notes
No date,4/6/1932,,,,,
12/30/1932,4/8/1933,,,,,
No date,4/11/1934,,,,,
No date,4/1/1935,,,,,
12/22/1935,3/29/1936,,,,,
12/7/1936,4/9/1937,,,,,
12/12/1937,3/25/1938,,,,,
12/20/1938,4/18/1939,,,,,
12/15/1939,4/29/1940,,,,,
12/4/1940,4/13/1941,,,,,
No date,4/7/1942,,,,,
12/17/1942,4/10/1943,,,,,
12/14/1943,4/15/1944,,,,,
12/5/1944,3/26/1945,,,,,
No date,3/24/1946,,,,,
12/27/1946,4/9/1947,,,,,
12/19/1947,3/31/1948,,,,,
12/26/1948,3/25/1949,,,,,
2/2/1950,4/15/1950,,,,,
No date,3/30/1951,,,,,
12/16/1951,4/6/1952,,,,,
12/29/1952,3/22/1953,,,,,
No date,3/21/1954,,,,,
1/9/1955,4/4/1955,,,,,
12/13/1955,4/27/1956,,,,,
12/31/1956,3/30/1957,,,,,
12/31/1957,4/18/1958,,,,,
12/9/1958,4/6/1959,,,,,
12/22/1959,4/16/1960,,,,,
12/14/1960,4/22/1961,,,,,
12/16/1961,4/9/1962,,,,,
12/11/1962,4/9/1963,,,,,
12/17/1963,4/9/1964,,,,,
1/11/1965,No date,,,,,
12/20/1965,4/8/1966,,,,,
12/23/1966,4/10/1967,,,,,
12/26/1967,4/4/1968,,,,,
12/11/1968,4/11/1969,,,,,
12/17/1969,4/18/1970,,,,,
12/16/1970,4/22/1971,,,,,
1/2/1972,4/19/1972,,,,,
1/1/1973,3/23/1973,,,,,
1/5/1974,4/10/1974,,,,,
12/26/1974,4/4/1975,,,,,
12/25/1975,3/25/1976,,,,,
12/2/1976,4/6/1977,,,,,
12/13/1977,4/15/1978,,,,,
12/21/1978,4/6/1979,,,,,
2/6/1980,3/31/1980,,,,,
12/16/1980,3/16/1981,,,,,
12/13/1981,4/18/1982,,,,,
1/14/1983,4/2/1983,,,,,
12/21/1983,4/12/1984,,,,,
1/5/1985,3/21/1985,,,,,
12/20/1985,4/2/1986,,,,,
12/19/1986,3/31/1987,,,,,
12/31/1987,4/5/1988,,,,,
12/13/1988,3/28/1989,,,,,
12/5/1989,3/17/1990,,,,,
1/10/1991,3/24/1991,,,,,
12/25/1991,4/8/1992,,,,,
1/11/1993,4/17/1993,,,,,
12/25/1993,4/17/1994,,,,,
1/30/1995,3/24/1995,,,,,
12/10/1995,4/8/1996,,,,,
1/1/1997,4/7/1997,,,,,
1/20/1998,3/28/1998,,,,,
1/2/1999,4/2/1999,,,,,
1/20/2000,3/26/2000,,,,,
12/19/2000,4/20/2001,,,,,
2/3/2002,3/9/2002,,,,,
1/6/2003,4/17/2003,,,,,
1/8/2004,4/5/2004,,,,,
1/16/2005,4/9/2005,,,,,
12/14/2005,3/27/2006,,,,,
1/23/2007,4/16/2007,,,,,
12/13/2007,4/8/2008,,,,,
12/31/2008,3/30/2009,,,,,
1/8/2010,3/30/2010,,,,,
12/19/2010,4/10/2011,,,,,
1/16/2012,3/16/2012,,,,,
1/3/2013,4/11/2013,,,,,
12/21/2013,4/12/2014,,,,,
12/31/2014,4/17/2015,,,,,
1/24/2016,3/10/2016,,,,,
12/16/2016,4/7/2017,,,,,
12/27/2017,4/11/2018,,,,,
12/12/2018,12/21/2018,1/12/2019,4/2/2019,,,No ice 23Dec2018 to 11Jan2019
1/18/2020,3/11/2020,,,,,
1/13/2021,3/27/2021,,,,,
1/13/2022,3/23/2022,,,,,
12/22/2022,1/5/2023,2/2/2023,2/18/2023,2/25/2023,3/23/2023,
