WKT,name,description
POINT (-74.1593235 41.7643041),Point 1,
POINT (-74.1591894 41.7645742),Point 2,
POINT (-74.159125 41.7648255),Point 3,
POINT (-74.1590767 41.7649815),Point 4,
POINT (-74.159015 41.7651716),Point 5,
POINT (-74.1589855 41.7653096),Point 6,
POINT (-74.1589453 41.7654917),Point 7,
POINT (-74.1589185 41.7656397),Point 8,
POINT (-74.158889 41.7657598),Point 9,
POINT (-74.158846 41.7658438),Point 10,
POINT (-74.1587683 41.7659138),Point 11,
POINT (-74.1586824 41.7660138),Point 12,
POINT (-74.1586154 41.7660978),Point 13,
POINT (-74.1585456 41.7661539),Point 14,
POINT (-74.1584772 41.766202),Point 15,
POINT (-74.1584075 41.7662481),Point 16,
POINT (-74.1583324 41.7662941),Point 17,
POINT (-74.1582546 41.7663341),Point 18,
POINT (-74.1582171 41.7663821),Point 19,
POINT (-74.1581795 41.7664441),Point 20,
POINT (-74.158142 41.7665301),Point 21,
POINT (-74.1580856 41.7666142),Point 22,
POINT (-74.1580213 41.7666902),Point 23,
POINT (-74.157973 41.7667342),Point 24,
POINT (-74.1579167 41.7667682),Point 25,
POINT (-74.157863 41.7667862),Point 26,
POINT (-74.1577986 41.7668382),Point 27,
POINT (-74.1577423 41.7668702),Point 28,
POINT (-74.1577021 41.7668922),Point 29,
POINT (-74.1576538 41.7669042),Point 30,
POINT (-74.157596 41.7669192),Point 31,
POINT (-74.1575289 41.7669472),Point 32,
POINT (-74.1574914 41.7669592),Point 33,
POINT (-74.1574378 41.7669612),Point 34,
POINT (-74.1573841 41.7669552),Point 35,
POINT (-74.1573278 41.7669512),Point 36,
POINT (-74.1572795 41.7669412),Point 37,
POINT (-74.1572393 41.7669292),Point 38,
POINT (-74.1571937 41.7669252),Point 39,
POINT (-74.1571561 41.7669252),Point 40,
POINT (-74.1571025 41.7669412),Point 41,
POINT (-74.1570569 41.7669492),Point 42,
POINT (-74.1569979 41.7669592),Point 43,
POINT (-74.1569684 41.7669872),Point 44,
