Date,TempMax_degC,TempMin_degC,TempAvg_degC,Precipitation_mm,Snowfall_mm,SnowDepth_mm
1896-01-01,-2.22,-5.56,-3.89,0,0,NA
1896-01-02,0.56,-7.78,-3.61,0,0,NA
1896-01-03,5,-7.22,-1.11,0,0,NA
1896-01-04,-6.67,-13.33,-10,0,0,NA
1896-01-05,-10.56,-17.78,-14.17,0,0,NA
1896-01-06,-17.78,-25.56,-21.67,0,0,NA
1896-01-07,-14.44,-22.22,-18.33,4.318,63.5,NA
1896-01-08,-11.11,-20,-15.56,0,0,NA
1896-01-09,-9.44,-16.11,-12.78,0,0,NA
1896-01-10,-2.22,-11.11,-6.67,1.778,38.1,NA
1896-01-11,-3.89,-15,-9.44,0,0,NA
1896-01-12,-2.78,-13.89,-8.33,0,0,NA
1896-01-13,-2.78,-8.33,-5.56,0,0,NA
1896-01-14,-2.22,-8.89,-5.56,0,0,NA
1896-01-15,-1.11,-10,-5.56,0,0,NA
1896-01-16,-4.44,-14.44,-9.44,0,0,NA
1896-01-17,-0,-7.78,-3.89,0,0,NA
1896-01-18,-0,-6.67,-3.33,0,0,NA
1896-01-19,-1.11,-4.44,-2.78,2.54,25.4,NA
1896-01-20,-2.78,-6.11,-4.44,0,0,NA
1896-01-21,-0,-5.56,-2.78,0,0,NA
1896-01-22,-0,-7.78,-3.89,0,0,NA
1896-01-23,-0,-8.89,-4.44,0,0,NA
1896-01-24,-0,-4.44,-2.22,NA,50.8,NA
1896-01-25,1.11,-1.11,-0,29.209999999999997,0,NA
1896-01-26,1.11,-1.11,-0,0,0,NA
1896-01-27,1.11,-7.78,-3.33,0,0,NA
1896-01-28,2.22,-7.78,-2.78,0,0,NA
1896-01-29,-0,-13.33,-6.67,0,0,NA
1896-01-30,1.11,-4.44,-1.67,0,0,NA
1896-01-31,-2.22,-11.11,-6.67,0,0,NA
1896-02-01,3.33,-6.67,-1.67,NA,50.8,NA
1896-02-02,4.44,-5.56,-0.56,0,0,NA
1896-02-03,-3.33,-10,-6.67,0,0,NA
1896-02-04,-1.11,-7.78,-4.44,0,0,NA
