STATION,NAME,DATE,PRCP_in,SNOW_in,SNWD_in,TMAX_degF,TMIN_degF,TOBS_degF
USC00305426,"MOHONK LAKE, NY US",1984-01-01,0,0,2,23,13,23
USC00305426,"MOHONK LAKE, NY US",1984-01-02,0.02,0.6,2,24,13,24
USC00305426,"MOHONK LAKE, NY US",1984-01-03,0,0,2,29,23,27
USC00305426,"MOHONK LAKE, NY US",1984-01-04,0,0,2,31,25,31
USC00305426,"MOHONK LAKE, NY US",1984-01-05,0,0,2,36,29,34
USC00305426,"MOHONK LAKE, NY US",1984-01-06,0.09,1.9,3,35,29,32
USC00305426,"MOHONK LAKE, NY US",1984-01-07,0,0,2,33,25,25
USC00305426,"MOHONK LAKE, NY US",1984-01-08,0.01,0.4,2,25,5,16
USC00305426,"MOHONK LAKE, NY US",1984-01-09,0,0.1,2,28,15,26
USC00305426,"MOHONK LAKE, NY US",1984-01-10,0.19,3,5,33,15,29
USC00305426,"MOHONK LAKE, NY US",1984-01-11,0.33,4.5,10,29,10,15
USC00305426,"MOHONK LAKE, NY US",1984-01-12,0,0,10,15,-4,7
USC00305426,"MOHONK LAKE, NY US",1984-01-13,0.02,0.5,10,14,-1,14
USC00305426,"MOHONK LAKE, NY US",1984-01-14,0.15,1.8,11,31,10,29
USC00305426,"MOHONK LAKE, NY US",1984-01-15,0,0,11,29,11,15
USC00305426,"MOHONK LAKE, NY US",1984-01-16,0,0,11,15,-3,12
USC00305426,"MOHONK LAKE, NY US",1984-01-17,0,0,10,26,9,26
USC00305426,"MOHONK LAKE, NY US",1984-01-18,0.05,0.9,11,26,17,21
USC00305426,"MOHONK LAKE, NY US",1984-01-19,0.12,1.2,12,23,17,19
USC00305426,"MOHONK LAKE, NY US",1984-01-20,0,0,11,19,7,11
USC00305426,"MOHONK LAKE, NY US",1984-01-21,0,0,11,11,-4,7
USC00305426,"MOHONK LAKE, NY US",1984-01-22,0,0,11,15,-1,13
USC00305426,"MOHONK LAKE, NY US",1984-01-23,0,0,10,29,9,26
USC00305426,"MOHONK LAKE, NY US",1984-01-24,0.55,0,10,38,19,36
USC00305426,"MOHONK LAKE, NY US",1984-01-25,0,0,9,42,34,41
USC00305426,"MOHONK LAKE, NY US",1984-01-26,0,0,9,41,30,35
