Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
4/1/2023,72,40,69,0.33,0,0,3-11 AM,
4/2/2023,72,34,45,0,0,0,,
4/3/2023,61,27,61,0,0,0,,
4/4/2023,72,43,71,0,0,0,,
4/5/2023,71,48,51,0,0,0,,
4/6/2023,75,46,62,0.06,0,0,12-4 AM,
4/7/2023,71,42,44,0,0,0,,
4/8/2023,52,28,49,0,0,0,,
4/9/2023,56,33,56,0,0,0,,
4/10/2023,67,32,64,0,0,0,,
4/11/2023,72,46,68,0,0,0,,
4/12/2023,81,59,78,0,0,0,,
4/13/2023,90,62,89,0,0,0,,
4/14/2023,89,61,87,0,0,0,,
4/15/2023,88,61,70,0,0,0,,
4/16/2023,72,54,71,0.14,0,0,12-8 AM,
4/17/2023,71,52,62,0.29,0,0,4 AM-12 PM,
4/18/2023,62,41,47,0,0,0,,
4/19/2023,52,36,49,0,0,0,,
4/20/2023,65,34,65,0,0,0,,
4/21/2023,73,45,70,0,0,0,,
4/22/2023,73,48,60,0.02,0,0,3-7 AM,
4/23/2023,60,48,58,2.48,0,0,12 AM-2 PM,
4/24/2023,58,38,53,0.04,0,0,12-1 AM,
4/25/2023,57,35,53,0,0,0,,
4/26/2023,59,36,57,0,0,0,,
4/27/2023,57,42,51,0.32,0,0,12-8 AM,
4/28/2023,57,41,52,0,0,0,,
4/29/2023,53,41,47,1.11,0,0,12 AM-5 PM,
4/30/2023,52,45,51,0.67,0,0,12 AM-5 PM,
