Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
8/1/2022,82,64,77,0.19,,,12 AM-3 AM,
8/2/2022,89,66,82,0,,,,
8/3/2022,89,62,87,0,,,,
8/4/2022,95,69,93,0,,,,
8/5/2022,94,72,74,0,,,,
8/6/2022,92,69,81,0,,,,
8/7/2022,88,72,72,0.81,,,11 AM-5 PM,
8/8/2022,91,72,87,0,,,,
8/9/2022,91,71,85,0.52,,,12 AM-1 AM; 12 PM-2 PM,
8/10/2022,85,65,78,0,,,,
8/11/2022,85,63,85,0,,,,
8/12/2022,85,60,78,0,,,,
8/13/2022,80,54,73,0,,,,
8/14/2022,83,58,81,0,,,,
8/15/2022,85,60,83,0,,,,
8/16/2022,83,59,78,0,,,,
8/17/2022,81,61,78,0,,,,
8/18/2022,83,61,74,0,,,,
8/19/2022,88,63,85,0,,,,
8/20/2022,89,68,86,0,,,,
8/21/2022,88,67,80,0,,,,
8/22/2022,82,67,75,0.18,,,11 AM-1 PM,
8/23/2022,85,68,82,0.1,,,2 AM-4 AM; 9 AM-11 AM,
8/24/2022,86,65,79,0,,,,
8/25/2022,89,63,84,0,,,,
8/26/2022,88,63,82,0.2,,,7 AM-9 AM; 12 PM-1 PM,
8/27/2022,83,64,80,0,,,,
8/28/2022,83,62,83,0.03,,,5 AM-6 AM,
8/29/2022,89,68,87,0,,,,
8/30/2022,89,69,83,0,,,,
8/31/2022,89,62,75,1.55,,,12 AM-2 AM,
