Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
12/1/2023,49,32,41,0.02,0,0,2-5 PM,
12/2/2023,53,38,47,0.11,0,0,12 AM-12 PM,
12/3/2023,50,41,41,0.9,0,0,5 AM-5 PM,
12/4/2023,47,39,40,0.17,0,0,12-1 AM,
12/5/2023,42,29,34,0,0,0,,
12/6/2023,35,29,31,0.03,0,0,12-9 AM,
12/7/2023,32,22,32,0,0,0,,
12/8/2023,45,32,40,0,0,0,,
12/9/2023,48,36,41,0,0,0,,
12/10/2023,53,41,53,0.35,0,0,12-5 PM,
12/11/2023,54,33,33,1.9,0,0,12-8 AM,
12/12/2023,39,28,36,0,0,0,,
12/13/2023,38,28,33,0,0,0,,
12/14/2023,36,22,32,0,0,0,,
12/15/2023,54,29,49,0,0,0,,
12/16/2023,52,35,40,0,0,0,,
12/17/2023,43,36,43,0.19,0,0,8 AM-5 PM,
12/18/2023,58,42,43,3.36,0,0,12 AM-3 PM,
12/19/2023,43,30,30,0,0,0,,
12/20/2023,39,23,33,0,0,0,,
12/21/2023,37,26,26,0,0,0,,
12/22/2023,30,16,25,0,0,0,,
12/23/2023,34,22,34,0,0,0,,
12/24/2023,41,33,39,0,0,0,,
12/25/2023,49,36,42,0,0,0,,
12/26/2023,50,36,44,0,0,0,,
12/27/2023,48,44,44,0.15,0,0,6 AM-2 PM,
12/28/2023,47,43,46,1.09,0,0,12 AM-12 PM,
12/29/2023,48,43,44,0,0,0,,
12/30/2023,46,36,37,0,0,0,,
12/31/2023,39,32,35,0,0,0,,
