Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
2/1/2023,31,16,27,0,0,T,,
2/2/2023,35,19,32,0,0,T,,
2/3/2023,34,4,4,0,0,T,,
2/4/2023,15,-7,13,0,0,T,,
2/5/2023,43,12,42,0,0,T,,
2/6/2023,43,35,35,0,0,T,,
2/7/2023,39,17,35,0,0,T,,
2/8/2023,48,30,44,0.04,0,T,12-5 AM,
2/9/2023,46,31,39,0.07,0,T,12 AM-12 PM,
2/10/2023,54,38,42,0.06,0,0,12 AM-12 PM,
2/11/2023,45,30,36,0.03,0,0,12-3 AM,
2/12/2023,44,28,39,0.01,0,0,12-1 AM,
2/13/2023,54,32,49,0,0,0,,
2/14/2023,53,31,47,0.02,0,0,12-1 AM,
2/15/2023,62,35,59,0,0,0,,
2/16/2023,62,44,48,0.07,0,0,12 AM-5 PM,
2/17/2023,55,35,35,0.16,0,0,12 AM-5 PM,
2/18/2023,40,19,37,0,0,0,,
2/19/2023,44,30,42,0,0,0,,
2/20/2023,57,33,50,0,0,0,,
2/21/2023,54,30,36,0.21,0,0,2-4 AM; 11 AM-5 PM,
2/22/2023,36,27,30,0.11,T,T,12-1 AM; 2-5 PM,
2/23/2023,36,29,35,0.52,0,T,12 AM-3 PM,
2/24/2023,39,27,27,0.06,0,0,12-2 AM,
2/25/2023,30,14,22,0.08,2,2,10 AM-1 PM,
2/26/2023,41,16,41,0,0,T,,
2/27/2023,43,24,34,0,0,T,,
2/28/2023,35,24,33,0.96,7,7,12 AM-3 PM,
