Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
1/1/2023,51,40,40,0.07,0,T,12-1 AM,
1/2/2023,52,40,44,0,0,T,,
1/3/2023,49,37,45,0.41,0,0,9 AM-3 PM,
1/4/2023,57,43,43,0.05,0,0,12-5 AM,
1/5/2023,48,41,44,0.15,0,0,12-2 AM,
1/6/2023,45,38,40,0.17,0,0,12-6 AM,
1/7/2023,42,32,37,0.03,0,0,12-1 AM,
1/8/2023,39,22,29,0,0,0,,
1/9/2023,38,27,33,0,0,0,,
1/10/2023,37,29,34,0,0,0,,
1/11/2023,35,21,30,0,0,0,,
1/12/2023,35,28,35,0.08,T,T,6-10 AM,
1/13/2023,51,34,37,0.96,0,0,12-11 AM,
1/14/2023,38,27,27,0,0,0,,
1/15/2023,34,23,31,0,0,0,,
1/16/2023,38,20,30,0,0,0,,
1/17/2023,35,22,32,0,0,0,,
1/18/2023,46,32,40,0,0,0,,
1/19/2023,42,32,32,0.55,0,0,7 AM-4 PM,
1/20/2023,42,32,39,0.22,0,0,12-1 AM; 3-5 AM,
1/21/2023,40,31,33,0,0,0,,
1/22/2023,35,28,35,0,0,0,,
1/23/2023,35,30,31,0.85,4,4,12 AM-5 PM,
1/24/2023,33,27,31,0,0,4,,
1/25/2023,32,27,30,0.13,1,5,10 AM-3 PM,
1/26/2023,40,30,35,1.05,0,2,12-6 AM,
1/27/2023,36,25,32,0,0,2,,
1/28/2023,46,26,41,0,0,1,,
1/29/2023,44,29,41,0,0,1,,
1/30/2023,43,32,40,0,0,T,,
1/31/2023,42,25,25,0.1,T,T,12-5 AM,
