Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
6/1/2023,87,57,85,0,,,,
6/2/2023,90,63,74,0,,,,
6/3/2023,81,57,61,0.05,,,10 AM-5 PM,
6/4/2023,62,44,59,0,,,,
6/5/2023,71,48,68,0,,,,
6/6/2023,71,53,63,0,,,,
6/7/2023,66,49,62,0,,,,
6/8/2023,64,48,60,0,,,,
6/9/2023,69,48,61,0.03,,,1-2 PM,
6/10/2023,73,48,73,0.02,,,12-1 AM,
6/11/2023,84,58,80,0,,,,
6/12/2023,84,64,73,0,,,,
6/13/2023,74,58,69,0.33,,,12-2 AM,
6/14/2023,72,56,63,0.15,,,12-5 PM,
6/15/2023,76,56,73,0.03,,,12-1 AM,
6/16/2023,73,58,64,0.1,,,1-2 PM,
6/17/2023,72,56,58,0.58,,,12-8 AM,
6/18/2023,77,57,71,0,,,,
6/19/2023,77,55,77,0,,,,
6/20/2023,77,58,75,0.27,,,12-1 AM,
6/21/2023,76,56,73,0,,,,
6/22/2023,73,55,71,0,,,,
6/23/2023,72,62,68,0.02,,,4-5 PM,
6/24/2023,78,66,73,0.5,,,12 AM-4 PM,
6/25/2023,84,65,78,0,,,,
6/26/2023,82,66,68,0.75,,,10 AM-5 PM,
6/27/2023,73,61,73,1.37,,,12-1 AM; 10-11 AM,
6/28/2023,74,62,70,0.98,,,12-1 AM; 11 AM-1 PM,
6/29/2023,79,58,77,0,,,,
6/30/2023,82,60,79,0,,,,
