Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
3/1/2023,39,22,36,0,0,6,,
3/2/2023,51,32,42,0.15,0,2,2-10 AM,
3/3/2023,44,27,39,0,0,1,,
3/4/2023,40,29,35,1.44,3,4,12-11 AM,
3/5/2023,46,31,41,0,0,3,,
3/6/2023,48,34,43,0,0,2,,
3/7/2023,46,31,31,0,0,2,,
3/8/2023,42,24,38,0,0,1,,
3/9/2023,45,28,39,0,0,1,,
3/10/2023,42,25,38,0,0,1,,
3/11/2023,40,30,35,0.89,4,5,12 AM-12 PM,
3/12/2023,43,24,39,0,0,4,,
3/13/2023,40,33,36,0.29,0,4,5 AM-5 PM,
3/14/2023,36,31,34,1.52,13,17,12 AM-5 PM,
3/15/2023,40,27,38,0,0,14,,
3/16/2023,53,24,51,0,0,10,,
3/17/2023,53,39,47,0,0,5,,
3/18/2023,52,36,41,0,0,2,,
3/19/2023,46,21,32,0,0,2,,
3/20/2023,51,25,48,0,0,1,,
3/21/2023,57,32,55,0,0,1,,
3/22/2023,60,34,60,0,0,T,,
3/23/2023,60,44,52,0.11,0,T,9 AM-2 PM,
3/24/2023,56,34,50,0.04,0,T,12-1 AM,
3/25/2023,50,32,36,0.42,0,0,7 AM-5 PM,
3/26/2023,59,36,59,0.12,0,0,12-1 AM,
3/27/2023,59,31,53,0,0,0,,
3/28/2023,53,36,47,0.05,0,0,12-1 AM,
3/29/2023,55,28,53,0,0,0,,
3/30/2023,54,25,41,0,0,0,,
3/31/2023,47,25,43,0.03,0,0,3-5 PM,
