Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
5/1/2022,68,40,64,0,0,0,,
5/2/2022,67,47,48,0.25,0,0,,
5/3/2022,62,46,62,0,0,0,,
5/4/2022,62,47,54,0.34,0,0,,
5/5/2022,68,46,65,0,0,0,,
5/6/2022,67,49,51,0.32,0,0,,
5/7/2022,52,45,49,0.01,0,0,,
5/8/2022,59,42,59,0,0,0,,
5/9/2022,71,40,69,0,0,0,,
5/10/2022,73,46,71,0,0,0,,
5/11/2022,76,47,74,0,0,0,,
5/12/2022,80,53,76,0,0,0,,
5/13/2022,80,58,79,0.01,0,0,,
5/14/2022,79,62,73,0,0,0,,
5/15/2022,80,61,66,0.33,0,0,,
5/16/2022,79,60,60,0.83,0,0,,
5/17/2022,69,50,64,0,0,0,,
5/18/2022,69,48,66,0,0,0,,
5/19/2022,69,49,60,0.28,0,0,,
5/20/2022,73,51,68,0.11,0,0,,
5/21/2022,89,61,89,0,0,0,,
5/22/2022,89,68,86,0.72,0,0,,
5/23/2022,89,53,63,0,0,0,,
5/24/2022,67,52,65,0,0,0,,
5/25/2022,72,53,70,0,0,0,,
5/26/2022,72,51,68,0,0,0,,
5/27/2022,73,59,70,0.08,0,0,,
5/28/2022,72,59,66,0.77,0,0,,
5/29/2022,76,51,73,0,0,0,,
5/30/2022,85,59,83,0,0,0,,
5/31/2022,91,71,87,0,0,0,,
