Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
11/1/2022,64,55,64,0.16,0,0,,
11/2/2022,67,51,64,0.00,0,0,,
11/3/2022,67,42,66,0.00,0,0,,
11/4/2022,70,48,68,0.00,0,0,,
11/5/2022,76,59,73,0.00,0,0,,
11/6/2022,73,62,65,0.19,0,0,,
11/7/2022,72,62,64,0.09,0,0,,
11/8/2022,64,40,48,0.00,0,0,,
11/9/2022,51,33,47,0.00,0,0,,
11/10/2022,65,41,58,0.00,0,0,,
11/11/2022,62,54,60,0.52,0,0,,
11/12/2022,66,55,55,1.09,0,0,,
11/13/2022,56,40,40,0.09,0,0,,
11/14/2022,43,32,34,0.00,0,0,,
11/15/2022,37,25,33,0.00,0,0,,
11/16/2022,40,29,38,0.87,1,1,,
11/17/2022,40,32,34,0.00,0,T,,
11/18/2022,36,29,33,0.00,0,T,,
11/19/2022,35,24,29,0.00,0,T,,
11/20/2022,32,23,26,0.00,0,T,,
11/21/2022,34,20,34,0.00,0,T,,
11/22/2022,46,29,39,0.00,0,T,,
11/23/2022,49,34,40,0.00,0,T,,
11/24/2022,48,30,45,0.00,0,0,,
11/25/2022,48,39,42,0.06,0,0,,
11/26/2022,52,36,48,0.00,0,0,,
11/27/2022,51,39,41,0.60,0,0,,
11/28/2022,48,40,41,0.20,0,0,,
11/29/2022,42,28,31,0.00,0,0,,
11/30/2022,51,29,51,0.81,0,0,,
,,,,,,,,
