Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
10/1/2022,59,47,58,0.02,0,0,3-4 PM,
10/2/2022,59,49,52,0,0,0,,
10/3/2022,53,44,49,0,0,0,,
10/4/2022,50,44,45,0.82,0,0,7-11 AM; 2-5 PM,
10/5/2022,55,45,54,1.59,0,0,12 AM-5 PM,
10/6/2022,70,45,66,0.02,0,0,12-1 AM,
10/7/2022,70,57,63,0,0,0,,
10/8/2022,66,44,50,0,0,0,,
10/9/2022,61,39,56,0,0,0,,
10/10/2022,62,44,59,0,0,0,,
10/11/2022,67,43,67,0,0,0,,
10/12/2022,69,48,63,0,0,0,,
10/13/2022,66,53,61,0.25,0,0,11 AM-5 PM,
10/14/2022,65,48,59,1.19,0,0,12-3 AM,
10/15/2022,67,44,63,0,0,0,,
10/16/2022,67,42,58,0,0,0,,
10/17/2022,62,45,54,0.14,0,0,6-7 AM; 4-5 PM,
10/18/2022,55,40,53,0.1,0,0,12-1 AM,
10/19/2022,53,36,45,0,0,0,,
10/20/2022,54,35,51,0,0,0,,
10/21/2022,60,38,56,0,0,0,,
10/22/2022,67,42,62,0,0,0,,
10/23/2022,66,44,56,0,0,0,,
10/24/2022,58,51,55,0.39,0,0,6 AM-2 PM,
10/25/2022,66,55,65,0.37,0,0,12 AM-5 PM,
10/26/2022,70,61,67,0.05,0,0,8 AM-5 PM,
10/27/2022,70,50,56,0,0,0,,
10/28/2022,58,38,50,0,0,0,,
10/29/2022,60,32,57,0,0,0,,
10/30/2022,65,30,62,0,0,0,,
10/31/2022,64,41,61,0,0,0,,
