Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
9/1/2022,78,61,75,0,,,,
9/2/2022,78,50,75,0,,,,
9/3/2022,80,59,80,0,,,,
9/4/2022,85,66,75,0,,,,
9/5/2022,75,60,67,0.69,,,2 AM-6 AM; 12 PM- 5 PM,
9/6/2022,67,62,62,3.66,,,12 AM-5 PM,
9/7/2022,65,60,65,0.5,,,12 AM-2 AM,
9/8/2022,76,58,73,0,,,,
9/9/2022,79,56,75,0,,,,
9/10/2022,81,62,78,0,,,,
9/11/2022,81,63,63,0.12,,,7 AM-9 AM; 2 PM-5 PM,
9/12/2022,77,61,71,0.09,,,12 AM-2 AM; 2 PM-3 PM,
9/13/2022,78,66,71,0.46,,,12 AM-2 AM; 2 PM-4 PM,
9/14/2022,76,55,72,0,,,,
9/15/2022,75,53,66,0,,,,
9/16/2022,71,46,66,0,,,,
9/17/2022,73,54,70,0,,,,
9/18/2022,82,59,78,0,,,,
9/19/2022,82,65,65,0.16,,,2 PM-5 PM,
9/20/2022,73,59,68,0,,,,
9/21/2022,77,55,74,0,,,,
9/22/2022,77,55,62,0.74,,,5 AM-7 AM; 8 AM- 12 PM,
9/23/2022,65,43,53,0,,,,
9/24/2022,68,43,64,0,,,,
9/25/2022,67,52,63,0.02,,,11 AM-12 PM,
9/26/2022,67,55,63,0,,,,
9/27/2022,65,51,59,0,,,,
9/28/2022,67,50,61,0,,,,
9/29/2022,65,45,58,0,,,,
9/30/2022,61,42,56,,,,,
