Year,Month,Day,NAO_index
1948,1,2,-93.3
1948,1,3,-84.38
1948,1,4,-82.96
1948,1,5,-40.67
1948,1,6,-13.63
1948,1,7,-15.76
1948,1,8,-35.58
1948,1,9,-59.44
1948,1,10,-89
1948,1,11,-70.61
1948,1,12,-0.24
1948,1,13,23.95
1948,1,14,36.83
1948,1,15,62.12
1948,1,16,94.49
1948,1,17,139.05
1948,1,18,148.21
1948,1,19,58.32
1948,1,20,39.22
1948,1,21,111.75
1948,1,22,54.02
1948,1,23,29.18
1948,1,24,112.91
1948,1,25,95.34
1948,1,26,12.82
1948,1,27,-56.45
1948,1,28,-105.36
1948,1,29,-83.05
1948,1,30,-38.33
1948,1,31,-22.21
1948,2,1,-25.97
1948,2,2,68.73
1948,2,3,78.73
1948,2,4,80.47
1948,2,5,128.56
1948,2,6,165.73
1948,2,7,118.68
1948,2,8,120.42
1948,2,9,112.17
1948,2,10,146.73
1948,2,11,181.55
1948,2,12,172.06
1948,2,13,113.67
1948,2,14,67.53
1948,2,15,57.51
1948,2,16,37.22
1948,2,17,-17.33
1948,2,18,-105.84
1948,2,19,-243.15
1948,2,20,-295.39
1948,2,21,-275.09
1948,2,22,-209.64
1948,2,23,-141.75
1948,2,24,-89.9
1948,2,25,-87.08
1948,2,26,-78.65
1948,2,27,-66.23
1948,2,28,-66.94
1948,2,29,-101.44
1948,3,1,-97.11
1948,3,2,-21.47
1948,3,3,-41.45
1948,3,4,-69.86
1948,3,5,-110.15
1948,3,6,-153.31
1948,3,7,-88.46
1948,3,8,-3.06
1948,3,9,60.9
1948,3,10,11.63
1948,3,11,12.36
1948,3,12,19.27
1948,3,13,-30.83
1948,3,14,60.86
1948,3,15,270.77
1948,3,16,359.33
1948,3,17,371.25
1948,3,18,364.74
1948,3,19,333.36
1948,3,20,232.74
1948,3,21,141.07
1948,3,22,84.07
1948,3,23,82.91
1948,3,24,60.04
1948,3,25,35.16
1948,3,26,-38.65
1948,3,27,-78.39
1948,3,28,-30.34
1948,3,29,62.18
1948,3,30,130.85
1948,3,31,191.88
1948,4,1,204.04
1948,4,2,201.2
1948,4,3,147.34
1948,4,4,74.75
1948,4,5,97.04
1948,4,6,122.69
1948,4,7,180.25
1948,4,8,195.54
1948,4,9,156.23
1948,4,10,86.04
1948,4,11,33.6
1948,4,12,43.53
1948,4,13,74.06
1948,4,14,113.81
1948,4,15,127.82
1948,4,16,91.8
1948,4,17,39.78
1948,4,18,-3.67
1948,4,19,-42.81
1948,4,20,-14.78
1948,4,21,39.16
1948,4,22,69.31
1948,4,23,66.39
1948,4,24,53.15
1948,4,25,-17.83
1948,4,26,-126.41
1948,4,27,-208.54
1948,4,28,-201.86
1948,4,29,-121.72
1948,4,30,-82.46
1948,5,1,-75.06
1948,5,2,-15.52
1948,5,3,43.6
1948,5,4,72.26
1948,5,5,76.79
1948,5,6,70.31
1948,5,7,52.86
1948,5,8,49.5
1948,5,9,24.53
1948,5,10,36.88
1948,5,11,101.05
1948,5,12,154.3
1948,5,13,165.07
1948,5,14,121.23
1948,5,15,63.21
1948,5,16,16.73
1948,5,17,-5.2
1948,5,18,-72.97
1948,5,19,-210.45
1948,5,20,-275.15
1948,5,21,-274.04
1948,5,22,-261.39
1948,5,23,-232.32
1948,5,24,-184.32
1948,5,25,-88.11
1948,5,26,-33.84
1948,5,27,-2.18
1948,5,28,42.82
1948,5,29,78.82
1948,5,30,78.72
1948,5,31,94.75
1948,6,1,110.58
1948,6,2,112.52
1948,6,3,99.53
1948,6,4,77.43
1948,6,5,42.79
1948,6,6,1.83
1948,6,7,-30.97
1948,6,8,-49.94
1948,6,9,-62.95
1948,6,10,-73.58
1948,6,11,-103.16
1948,6,12,-115.49
1948,6,13,-89.64
1948,6,14,-58.48
1948,6,15,-24.72
1948,6,16,-19.31
1948,6,17,-39.1
1948,6,18,-53.15
1948,6,19,-21.19
1948,6,20,35.32
1948,6,21,24.57
1948,6,22,-6.75
1948,6,23,-11.24
1948,6,24,12.15
1948,6,25,56.54
1948,6,26,77.72
1948,6,27,45.74
1948,6,28,29.39
1948,6,29,-7.23
1948,6,30,-50.74
1948,7,1,-69.88
1948,7,2,-44.45
1948,7,3,-32.59
1948,7,4,-41.08
1948,7,5,-57.6
1948,7,6,-79.29
1948,7,7,-96.99
1948,7,8,-95.06
1948,7,9,-73.54
1948,7,10,-57.63
1948,7,11,-69.89
1948,7,12,-96.9
1948,7,13,-107.28
1948,7,14,-94.18
1948,7,15,-62.68
1948,7,16,-30.26
1948,7,17,-18.3
1948,7,18,-10.93
1948,7,19,-10.41
1948,7,20,4.32
1948,7,21,1.21
1948,7,22,29.25
1948,7,23,30.13
1948,7,24,23.03
1948,7,25,39.24
1948,7,26,58.64
1948,7,27,31.62
1948,7,28,-35.81
1948,7,29,-78.31
1948,7,30,-99.49
1948,7,31,-105.5
1948,8,1,-95.67
1948,8,2,-79.76
1948,8,3,-67.87
1948,8,4,-47.41
1948,8,5,-17.11
1948,8,6,-9.15
1948,8,7,-35.42
1948,8,8,-12.59
1948,8,9,44.13
1948,8,10,68.14
1948,8,11,63.19
1948,8,12,44.39
1948,8,13,14.35
1948,8,14,-12.91
1948,8,15,-31.38
1948,8,16,-22.95
1948,8,17,5.1
1948,8,18,16.74
1948,8,19,5.2
1948,8,20,-23.71
1948,8,21,-40.61
1948,8,22,-34.59
1948,8,23,-12.7
1948,8,24,5.93
1948,8,25,7.71
1948,8,26,-8.24
1948,8,27,-25.28
1948,8,28,-4.15
1948,8,29,-1.32
1948,8,30,8.67
1948,8,31,10.19
1948,9,1,12.71
1948,9,2,-14.6
1948,9,3,-18.56
1948,9,4,9.27
1948,9,5,-4.45
1948,9,6,-6.58
1948,9,7,24.82
1948,9,8,42.36
1948,9,9,39.31
1948,9,10,28.92
1948,9,11,65.2
1948,9,12,103.68
1948,9,13,131.06
1948,9,14,110.16
1948,9,15,74.3
1948,9,16,41.36
1948,9,17,42.26
1948,9,18,35.04
1948,9,19,-6.74
1948,9,20,-90.51
1948,9,21,-172.98
1948,9,22,-200.61
1948,9,23,-174.26
1948,9,24,-117.52
1948,9,25,-94.56
1948,9,26,-43.48
1948,9,27,28.55
1948,9,28,11.28
