Year,Monthy,Value
1929,1,-0.42
1929,2,-0.49
1929,3,-0.32
1929,4,-0.36
1929,5,-0.31
1929,6,-0.34
1929,7,-0.29
1929,8,-0.23
1929,9,-0.23
1929,10,-0.14
1929,11,-0.12
1929,12,-0.45
1930,1,-0.29
1930,2,-0.26
1930,3,-0.08
1930,4,-0.19
1930,5,-0.16
1930,6,-0.12
1930,7,-0.12
1930,8,-0.1
1930,9,-0.1
1930,10,-0.05
1930,11,0.14
1930,12,-0.02
1931,1,-0.07
1931,2,-0.17
1931,3,-0.07
1931,4,-0.15
1931,5,-0.13
1931,6,-0.01
1931,7,0
1931,8,-0.01
1931,9,0
1931,10,0.02
1931,11,-0.09
1931,12,-0.05
1932,1,0.1
1932,2,-0.13
1932,3,-0.14
1932,4,-0.04
1932,5,-0.14
1932,6,-0.17
1932,7,-0.15
1932,8,-0.15
1932,9,-0.1
1932,10,-0.1
1932,11,-0.23
1932,12,-0.23
1933,1,-0.26
1933,2,-0.31
1933,3,-0.26
1933,4,-0.21
1933,5,-0.24
1933,6,-0.28
1933,7,-0.21
1933,8,-0.19
1933,9,-0.26
1933,10,-0.19
1933,11,-0.27
1933,12,-0.34
1934,1,-0.25
1934,2,-0.03
1934,3,-0.3
1934,4,-0.28
1934,5,-0.07
1934,6,-0.08
1934,7,-0.09
1934,8,-0.09
1934,9,-0.11
1934,10,-0.02
1934,11,0.08
1934,12,-0.01
1935,1,-0.3
1935,2,0.11
1935,3,-0.13
1935,4,-0.31
1935,5,-0.24
1935,6,-0.2
1935,7,-0.15
1935,8,-0.14
1935,9,-0.13
1935,10,-0.03
1935,11,-0.22
1935,12,-0.11
1936,1,-0.3
1936,2,-0.36
1936,3,-0.2
1936,4,-0.13
1936,5,-0.08
1936,6,-0.1
1936,7,-0.05
1936,8,-0.07
1936,9,-0.08
1936,10,-0.05
1936,11,0.01
1936,12,0
1937,1,-0.09
1937,2,0.01
1937,3,-0.18
1937,4,-0.11
1937,5,-0.01
1937,6,0.03
1937,7,0.02
1937,8,0.06
1937,9,0.15
1937,10,0.12
1937,11,0.13
1937,12,0.04
1938,1,0.08
1938,2,0.03
1938,3,0.06
1938,4,0.07
1938,5,-0.03
1938,6,-0.09
1938,7,-0.06
1938,8,-0.02
1938,9,0.06
1938,10,0.12
1938,11,0.08
1938,12,-0.07
1939,1,-0.09
1939,2,-0.1
1939,3,-0.15
1939,4,-0.03
1939,5,-0.01
1939,6,-0.01
1939,7,-0.02
1939,8,0.02
1939,9,-0.01
1939,10,-0.01
1939,11,0.06
1939,12,0.46
1940,1,0.08
1940,2,0.08
1940,3,0.14
1940,4,0.21
1940,5,0.16
1940,6,0.12
1940,7,0.15
1940,8,0.11
1940,9,0.18
1940,10,0.15
1940,11,0.17
1940,12,0.33
1941,1,0.22
1941,2,0.33
1941,3,0.11
1941,4,0.23
1941,5,0.21
1941,6,0.16
1941,7,0.22
1941,8,0.2
1941,9,0.09
1941,10,0.36
1941,11,0.27
1941,12,0.25
1942,1,0.31
1942,2,0.05
1942,3,0.08
1942,4,0.14
1942,5,0.15
1942,6,0.1
1942,7,0
1942,8,-0.01
1942,9,0
1942,10,0.04
1942,11,0.08
1942,12,0.12
1943,1,-0.03
1943,2,0.12
1943,3,-0.02
1943,4,0.13
1943,5,0.13
1943,6,-0.02
1943,7,0.06
1943,8,0.02
1943,9,0.08
1943,10,0.25
1943,11,0.23
1943,12,0.24
1944,1,0.31
1944,2,0.25
1944,3,0.3
1944,4,0.2
1944,5,0.23
1944,6,0.24
1944,7,0.2
1944,8,0.18
1944,9,0.32
1944,10,0.29
1944,11,0.13
1944,12,0.16
1945,1,0.18
1945,2,0.05
1945,3,0.09
1945,4,0.25
1945,5,0.12
1945,6,0.11
1945,7,0.11
1945,8,0.29
1945,9,0.22
1945,10,0.17
1945,11,0.1
1945,12,-0.03
1946,1,0.17
1946,2,0.01
1946,3,0.02
1946,4,0.06
1946,5,-0.02
1946,6,-0.17
1946,7,-0.11
1946,8,-0.12
1946,9,-0.06
1946,10,-0.03
1946,11,-0.02
1946,12,-0.21
1947,1,-0.03
1947,2,-0.04
1947,3,0.05
1947,4,0.06
1947,5,0.02
1947,6,0.04
1947,7,-0.02
1947,8,-0.09
1947,9,-0.12
1947,10,0.05
1947,11,0
1947,12,-0.05
1948,1,0.02
1948,2,-0.08
1948,3,-0.21
1948,4,-0.04
1948,5,0.05
1948,6,-0.02
1948,7,-0.04
1948,8,-0.05
1948,9,-0.1
1948,10,-0.05
1948,11,-0.07
1948,12,-0.19
1949,1,0.06
1949,2,-0.15
1949,3,0.04
1949,4,-0.05
1949,5,-0.04
1949,6,-0.16
1949,7,-0.09
1949,8,-0.05
1949,9,-0.1
1949,10,-0.04
1949,11,-0.03
1949,12,-0.1
1950,1,-0.2
1950,2,-0.26
1950,3,-0.08
1950,4,-0.16
1950,5,-0.02
1950,6,-0.02
1950,7,-0.09
1950,8,-0.09
1950,9,-0.07
