yearmonth_decimal,Year,Month,ENSO_index
1950,1950,1,-1.53
1950.083333,1950,2,-1.34
1950.166667,1950,3,-1.16
1950.25,1950,4,-1.18
1950.333333,1950,5,-1.07
1950.416667,1950,6,-0.85
1950.5,1950,7,-0.54
1950.583333,1950,8,-0.42
1950.666667,1950,9,-0.39
1950.75,1950,10,-0.44
1950.833333,1950,11,-0.6
1950.916667,1950,12,-0.8
1951,1951,1,-0.82
1951.083333,1951,2,-0.54
1951.166667,1951,3,-0.17
1951.25,1951,4,0.18
1951.333333,1951,5,0.36
1951.416667,1951,6,0.58
1951.5,1951,7,0.7
1951.583333,1951,8,0.89
1951.666667,1951,9,0.99
1951.75,1951,10,1.15
1951.833333,1951,11,1.04
1951.916667,1951,12,0.81
1952,1952,1,0.53
1952.083333,1952,2,0.37
1952.166667,1952,3,0.34
1952.25,1952,4,0.29
1952.333333,1952,5,0.2
1952.416667,1952,6,0
1952.5,1952,7,-0.08
1952.583333,1952,8,0
1952.666667,1952,9,0.15
1952.75,1952,10,0.1
1952.833333,1952,11,0.04
1952.916667,1952,12,0.15
1953,1953,1,0.4
1953.083333,1953,2,0.6
1953.166667,1953,3,0.63
1953.25,1953,4,0.66
1953.333333,1953,5,0.75
1953.416667,1953,6,0.77
1953.5,1953,7,0.75
1953.583333,1953,8,0.73
1953.666667,1953,9,0.78
1953.75,1953,10,0.84
1953.833333,1953,11,0.84
1953.916667,1953,12,0.81
1954,1954,1,0.76
1954.083333,1954,2,0.47
1954.166667,1954,3,-0.05
1954.25,1954,4,-0.41
1954.333333,1954,5,-0.54
1954.416667,1954,6,-0.5
1954.5,1954,7,-0.64
1954.583333,1954,8,-0.84
1954.666667,1954,9,-0.9
1954.75,1954,10,-0.77
1954.833333,1954,11,-0.73
1954.916667,1954,12,-0.66
1955,1955,1,-0.68
1955.083333,1955,2,-0.62
1955.166667,1955,3,-0.69
1955.25,1955,4,-0.8
1955.333333,1955,5,-0.79
1955.416667,1955,6,-0.72
1955.5,1955,7,-0.68
1955.583333,1955,8,-0.75
1955.666667,1955,9,-1.09
1955.75,1955,10,-1.42
1955.833333,1955,11,-1.67
1955.916667,1955,12,-1.47
1956,1956,1,-1.11
1956.083333,1956,2,-0.76
1956.166667,1956,3,-0.63
1956.25,1956,4,-0.54
1956.333333,1956,5,-0.52
1956.416667,1956,6,-0.51
1956.5,1956,7,-0.57
