"","Year","IceInDate","IceOutDate","IceInDayofYear","IceOutDayofYear","LengthOfIceCover_days","IceInDayofYear_fed","IceOutDayofYear_fed"
"1",1932,NA,1932-04-06,NA,97,NA,NA,189
"2",1933,1932-12-30,1933-04-08,365,98,99,91,190
"3",1934,NA,1934-04-11,NA,101,NA,NA,193
"4",1935,NA,1935-04-01,NA,91,NA,NA,183
"5",1936,1935-12-22,1936-03-29,356,89,98,83,181
"6",1937,1936-12-07,1937-04-09,342,99,123,68,191
"7",1938,1937-12-12,1938-03-25,346,84,103,73,176
"8",1939,1938-12-20,1939-04-18,354,108,119,81,200
"9",1940,1939-12-15,1940-04-29,349,120,136,76,212
"10",1941,1940-12-04,1941-04-13,339,103,130,65,195
"11",1942,NA,1942-04-07,NA,97,NA,NA,189
"12",1943,1942-12-17,1943-04-10,351,100,114,78,192
"13",1944,1943-12-14,1944-04-15,348,106,123,75,198
"14",1945,1944-12-05,1945-03-26,340,85,111,66,177
"15",1946,NA,1946-03-24,NA,83,NA,NA,175
"16",1947,1946-12-27,1947-04-09,361,99,103,88,191
"17",1948,1947-12-19,1948-03-31,353,91,103,80,183
"18",1949,1948-12-26,1949-03-25,361,84,89,87,176
"19",1950,1950-02-02,1950-04-15,33,105,72,125,197
"20",1951,NA,1951-03-30,NA,89,NA,NA,181
"21",1952,1951-12-16,1952-04-06,350,97,112,77,189
"22",1953,1952-12-29,1953-03-22,364,81,83,90,173
"23",1954,NA,1954-03-21,NA,80,NA,NA,172
"24",1955,1955-01-09,1955-04-04,9,94,85,101,186
"25",1956,1955-12-13,1956-04-27,347,118,136,74,210
"26",1957,1956-12-31,1957-03-30,366,89,89,92,181
"27",1958,1957-12-31,1958-04-18,365,108,108,92,200
"28",1959,1958-12-09,1959-04-06,343,96,118,70,188
"29",1960,1959-12-22,1960-04-16,356,107,116,83,199
"30",1961,1960-12-14,1961-04-22,349,112,129,75,204
"31",1962,1961-12-16,1962-04-09,350,99,114,77,191
"32",1963,1962-12-11,1963-04-09,345,99,119,72,191
"33",1964,1963-12-17,1964-04-09,351,100,114,78,192
"34",1965,1965-01-11,NA,11,NA,NA,103,NA
"35",1966,1965-12-20,1966-04-08,354,98,109,81,190
"36",1967,1966-12-23,1967-04-10,357,100,108,84,192
"37",1968,1967-12-26,1968-04-04,360,95,100,87,187
"38",1969,1968-12-11,1969-04-11,346,101,121,72,193
"39",1970,1969-12-17,1970-04-18,351,108,122,78,200
"40",1971,1970-12-16,1971-04-22,350,112,127,77,204
"41",1972,1972-01-02,1972-04-19,2,110,108,94,202
"42",1973,1973-01-01,1973-03-23,1,82,81,93,174
"43",1974,1974-01-05,1974-04-10,5,100,95,97,192
"44",1975,1974-12-26,1975-04-04,360,94,99,87,186
"45",1976,1975-12-25,1976-03-25,359,85,91,86,177
"46",1977,1976-12-02,1977-04-06,337,96,125,63,188
"47",1978,1977-12-13,1978-04-15,347,105,123,74,197
"48",1979,1978-12-21,1979-04-06,355,96,106,82,188
"49",1980,1980-02-06,1980-03-31,37,91,54,129,183
"50",1981,1980-12-16,1981-03-16,351,75,90,77,167
"51",1982,1981-12-13,1982-04-18,347,108,126,74,200
"52",1983,1983-01-14,1983-04-02,14,92,78,106,184
"53",1984,1983-12-21,1984-04-12,355,103,113,82,195
"54",1985,1985-01-05,1985-03-21,5,80,75,97,172
"55",1986,1985-12-20,1986-04-02,354,92,103,81,184
"56",1987,1986-12-19,1987-03-31,353,90,102,80,182
"57",1988,1987-12-31,1988-04-05,365,96,96,92,188
"58",1989,1988-12-13,1989-03-28,348,87,105,74,179
"59",1990,1989-12-05,1990-03-17,339,76,102,66,168
"60",1991,1991-01-10,1991-03-24,10,83,73,102,175
"61",1992,1991-12-25,1992-04-08,359,99,105,86,191
"62",1993,1993-01-11,1993-04-17,11,107,96,103,199
"63",1994,1993-12-25,1994-04-17,359,107,113,86,199
"64",1995,1995-01-30,1995-03-24,30,83,53,122,175
"65",1996,1995-12-10,1996-04-08,344,99,120,71,191
"66",1997,1997-01-01,1997-04-07,1,97,96,93,189
"67",1998,1998-01-20,1998-03-28,20,87,67,112,179
"68",1999,1999-01-02,1999-04-02,2,92,90,94,184
"69",2000,2000-01-20,2000-03-26,20,86,66,112,178
"70",2001,2000-12-19,2001-04-20,354,110,122,80,202
"71",2002,2002-02-03,2002-03-09,34,68,34,126,160
"72",2003,2003-01-06,2003-04-17,6,107,101,98,199
"73",2004,2004-01-08,2004-04-05,8,96,88,100,188
"74",2005,2005-01-16,2005-04-09,16,99,83,108,191
"75",2006,2005-12-14,2006-03-27,348,86,103,75,178
"76",2007,2007-01-23,2007-04-16,23,106,83,115,198
"77",2008,2007-12-13,2008-04-08,347,99,117,74,191
"78",2009,2008-12-31,2009-03-30,366,89,89,92,181
"79",2010,2010-01-08,2010-03-30,8,89,81,100,181
"80",2011,2010-12-19,2011-04-10,353,100,112,80,192
"81",2012,2012-01-16,2012-03-16,16,76,60,108,168
"82",2013,2013-01-03,2013-04-11,3,101,98,95,193
"83",2014,2013-12-21,2014-04-12,355,102,112,82,194
"84",2015,2014-12-31,2015-04-17,365,107,107,92,199
"85",2016,2016-01-24,2016-03-10,24,70,46,116,162
"86",2017,2016-12-16,2017-04-07,351,97,112,77,189
"87",2018,2017-12-27,2018-04-11,361,101,105,88,193
"88",2019,2018-12-12,2019-04-02,346,92,111,73,184
