"","water_year","cumMeanDailyT_spring","cumMeanDailyT_fall","cumSnow_spring","cumSnow_fall","cumRain_spring","cumRain_fall","cumMeanDailyT_winterSpring","cumSnow_winterSpring","cumRain_winterSpring","Year","IceInDayofYear","IceOutDayofYear","LengthOfIceCover_days","IceInDayofYear_fed","MEI_mean_previouswinter","MEI_sum_previouswinter","NAO_index_spring","NAO_index_winter"
"1",1929,267.777777777778,NA,0,NA,67.056,NA,NA,NA,NA,1930,NA,NA,NA,NA,NA,NA,NA,NA
"2",1930,312.5,466.388888888889,0,0,132.588,141.986,581.388888888889,1727.2,396.748,1931,NA,NA,NA,NA,NA,NA,NA,NA
"3",1931,168.611111111111,535,546.1,50.8,117.856,92.964,783.888888888889,1244.6,434.086,1932,NA,97,NA,NA,NA,NA,NA,NA
"4",1932,205,410.833333333333,431.8,0,329.946,363.474,568.888888888889,1054.1,866.648,1933,365,98,99,91,NA,NA,NA,NA
"5",1933,203.611111111111,292.5,254,228.6,233.934,116.84,-3.05555555555554,1612.9,588.264,1934,NA,101,NA,NA,NA,NA,NA,NA
"6",1934,300.555555555556,460.277777777778,101.6,55.88,134.62,198.374,405,1120.14,614.426,1935,NA,91,NA,NA,NA,NA,NA,NA
"7",1935,348.888888888889,512.5,93.98,76.2,328.93,224.282,338.055555555555,1376.68,781.558,1936,356,89,98,83,NA,NA,NA,NA
"8",1936,176.666666666667,373.055555555556,393.7,101.6,167.386,168.91,502.777777777778,998.22,703.072,1937,342,99,123,68,NA,NA,NA,NA
"9",1937,427.777777777778,413.611111111111,76.2,0,115.062,230.378,578.333333333333,787.4,569.722,1938,346,84,103,73,NA,NA,NA,NA
"10",1938,200.555555555556,554.722222222222,358.14,330.2,232.664,141.986,586.944444444444,1343.66,703.326,1939,354,108,119,81,NA,NA,NA,NA
"11",1939,114.166666666667,433.888888888889,429.26,27.94,328.168,152.654,238.888888888889,1404.62,661.924,1940,349,120,136,76,NA,NA,NA,NA
"12",1940,344.722222222222,396.944444444444,525.78,177.8,92.964,204.978,563.055555555556,1343.66,518.16,1941,339,103,130,65,NA,NA,NA,NA
"13",1941,430,573.333333333333,441.96,0,179.07,132.842,851.944444444444,980.44,530.098,1942,NA,97,NA,NA,NA,NA,NA,NA
"14",1942,169.166666666667,470.833333333333,297.18,0,175.006,269.24,258.888888888889,1595.12,727.456,1943,351,100,114,78,NA,NA,NA,NA
"15",1943,161.388888888889,426.666666666667,299.72,66.04,228.092,315.722,316.388888888889,947.42,667.004,1944,348,106,123,75,NA,NA,NA,NA
"16",1944,562.5,441.111111111111,124.46,358.14,167.64,167.132,535.833333333333,2280.92,627.38,1945,340,85,111,66,NA,NA,NA,NA
"17",1945,452.5,466.111111111111,152.4,355.6,84.328,244.602,558.333333333333,1694.18,558.8,1946,NA,83,NA,NA,NA,NA,NA,NA
"18",1946,220.555555555556,623.055555555556,381,0,202.184,57.912,653.888888888889,1059.18,447.802,1947,361,99,103,88,NA,NA,NA,NA
"19",1947,315,561.944444444444,304.8,43.18,228.092,205.232,410.277777777778,1826.26,641.35,1948,353,91,103,80,NA,NA,NA,NA
"20",1948,377.5,555.555555555556,228.6,63.5,126.492,204.47,905,1328.42,762.762,1949,361,84,89,87,NA,NA,NA,NA
"21",1949,152.777777777778,567.5,497.84,104.14,180.594,122.682,612.5,1617.98,635.762,1950,33,105,72,125,NA,NA,0.122016393442623,0.0250264900662252
"22",1950,323.055555555556,572.222222222222,337.82,55.88,287.782,170.18,716.111111111111,1590.04,806.704,1951,NA,89,NA,NA,NA,NA,-0.273016393442623,0.40194701986755
"23",1951,317.777777777778,428.888888888889,375.92,190.5,352.806,283.21,598.055555555556,1602.74,977.392,1952,350,97,112,77,NA,NA,-0.143196721311475,-0.128
"24",1952,313.055555555556,462.5,0,68.58,368.808,132.08,717.222222222222,779.78,878.078,1953,364,81,83,90,NA,NA,-0.354245901639344,0.222251655629139
"25",1953,351.111111111111,558.055555555556,0,177.8,173.228,180.848,812.5,1066.8,610.616,1954,NA,80,NA,NA,NA,NA,0.153213114754098,0.366774834437086
"26",1954,363.055555555556,547.5,370.84,88.9,238.252,209.804,636.111111111111,812.8,675.64,1955,9,94,85,101,NA,NA,-0.157540983606557,-0.534152317880795
"27",1955,131.388888888889,485.277777777778,1442.72,190.5,286.512,443.484,303.333333333333,2402.84,907.542,1956,347,118,136,74,NA,NA,-0.119327868852459,0.152230263157895
"28",1956,352.777777777778,522.5,421.64,177.8,165.1,141.224,673.055555555556,1511.3,520.192,1957,366,89,89,92,NA,NA,-0.0943770491803279,0.382854304635762
"29",1957,307.5,515,972.82,0,251.206,192.024,558.611111111111,2489.2,906.018,1958,365,108,108,92,NA,NA,-0.294016393442623,-0.0313245033112583
"30",1958,309.166666666667,461.944444444444,734.06,195.58,181.864,270.764,323.055555555556,1353.82,647.192,1959,343,96,118,70,NA,NA,0.122590163934426,0.180132450331126
"31",1959,214.166666666667,463.055555555556,424.18,15.24,148.336,336.042,494.444444444444,1452.88,806.704,1960,356,107,116,83,NA,NA,0.224885245901639,-0.526717105263158
"32",1960,217.222222222222,529.166666666667,909.32,0,251.968,89.154,339.444444444444,2547.62,519.938,1961,349,112,129,75,NA,NA,-0.127868852459016,-0.0840728476821192
