Year,IceInDayofYear,IceOutDayofYear,LengthOfIceCover_days,IceInDayofYear_fed,cumMeanDailyT_Jan,cumMeanDailyT_Feb,cumMeanDailyT_Mar,cumMeanDailyT_Apr,cumMeanDailyT_Sep,cumMeanDailyT_Oct,cumMeanDailyT_Nov,cumMeanDailyT_Dec,cumSnow_Jan,cumSnow_Feb,cumSnow_Mar,cumSnow_Apr,cumSnow_Sep,cumSnow_Oct,cumSnow_Nov,cumSnow_Dec,cumRain_Jan,cumRain_Feb,cumRain_Mar,cumRain_Apr,cumRain_Sep,cumRain_Oct,cumRain_Nov,cumRain_Dec,percPrecipRain_Jan,percPrecipRain_Feb,percPrecipRain_Mar,percPrecipRain_Apr,percPrecipRain_Sep,percPrecipRain_Oct,percPrecipRain_Nov,percPrecipRain_Dec,nDaysMeanBelowZero_Jan,nDaysMeanBelowZero_Feb,nDaysMeanBelowZero_Mar,nDaysMeanBelowZero_Apr,nDaysMeanBelowZero_Sep,nDaysMeanBelowZero_Oct,nDaysMeanBelowZero_Nov,nDaysMeanBelowZero_Dec,nDaysMinBelowZero_Jan,nDaysMinBelowZero_Feb,nDaysMinBelowZero_Mar,nDaysMinBelowZero_Apr,nDaysMinBelowZero_Sep,nDaysMinBelowZero_Oct,nDaysMinBelowZero_Nov,nDaysMinBelowZero_Dec,cumMeanDailyT_SepOct,cumMeanDailyT_SepOctNov,cumMeanDailyT_OctNov,cumMeanDailyT_OctNovDec,cumSnow_OctNov,cumSnow_OctNovDec,cumSnow_SepOct,cumSnow_SepOctNov,cumRain_SepOct,cumRain_SepOctNov,cumRain_OctNov,cumRain_OctNovDec,nDaysMeanBelowZero_SepOct,nDaysMeanBelowZero_SepOctNov,nDaysMeanBelowZero_OctNov,nDaysMeanBelowZero_OctNovDec,nDaysMinBelowZero_SepOct,nDaysMinBelowZero_SepOctNov,nDaysMinBelowZero_OctNov,nDaysMinBelowZero_OctNovDec,cumMeanDailyT_MarApr,cumMeanDailyT_FebMarApr,cumMeanDailyT_FebMar,cumMeanDailyT_JanFebMar,cumSnow_MarApr,cumSnow_FebMarApr,cumSnow_FebMar,cumSnow_JanFebMar,cumRain_MarApr,cumRain_FebMarApr,cumRain_FebMar,cumRain_JanFebMar,nDaysMeanAboveZero_MarApr,nDaysMeanAboveZero_Mar,nDaysMeanAboveZero_FebMar,nDaysMinAboveZero_MarApr,nDaysMinAboveZero_Mar,nDaysMinAboveZero_FebMar,maxSnowDepth_mm,maxSnowDepthDOY_fed,ENSO_index_spring,ENSO_index_summer,ENSO_index_winter,ENSO_index_fall,ENSO_Jan,ENSO_Feb,ENSO_Mar,ENSO_Apr,ENSO_Oct,ENSO_Nov,ENSO_Dec,ENSO_Oct_to_Mar,NAO_index_spring,NAO_index_summer,NAO_index_winter,NAO_index_fall,NAO_index_Jan,NAO_index_Feb,NAO_index_Mar,NAO_index_Apr,NAO_index_May,NAO_index_Jun,NAO_index_Jul,NAO_index_Aug,NAO_index_Sep,NAO_index_Oct,NAO_index_Nov,NAO_index_Dec,GlobalTempanomaly_C,isotherm_TempMax_degC_17_days_0_degC_WaterYear_date,isotherm_TempMean_degC_29_days_4_degC_WaterYear_date
1896,NA,NA,NA,NA,-200.56999999999996,-132.23999999999998,-98.33000000000001,NA,NA,NA,NA,NA,177.8,558.8,838.1999999999999,NA,NA,NA,NA,NA,NA,NA,281.178,NA,168.656,NA,NA,NA,NA,NA,25.119128658951666,NA,NA,NA,NA,NA,29,22,23,NA,NA,NA,NA,NA,31,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-230.57,-431.14,NA,NA,1397,1574.7999999999997,NA,NA,NA,NA,NA,8,14,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,NA,NA,NA,NA,NA,-91.14000000000001,7.769999999999996,218.08000000000004,498.32,NA,197.19,-82.78999999999999,304.79999999999995,279.4,203.2,NA,NA,NA,NA,241.3,48.006,76.708,101.6,53.848,48.006,78.99400000000001,121.66599999999998,48.26,13.606911447084236,21.54065620542083,33.333333333333336,NA,NA,NA,NA,16.666666666666664,NA,24,16,2,0,NA,4,20,28,27,20,12,0,NA,8,23,NA,NA,NA,NA,NA,NA,NA,NA,127.00000000000001,248.666,200.66,248.92,NA,NA,NA,NA,NA,NA,NA,NA,225.85000000000002,134.71000000000004,-83.37000000000002,NA,NA,NA,482.59999999999997,787.3999999999999,155.44799999999998,232.156,178.308,226.314,43,15,19,29,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,NA,NA,NA,NA,-117.78,-71.67,128.06,172.51,NA,357.7999999999999,122.49,-57.209999999999994,482.6,NA,NA,NA,NA,NA,152.4,381,128.778,127,NA,67.56400000000001,NA,26.924,129.54000000000002,138.176,21.063564603240543,NA,NA,NA,NA,NA,45.945945945945944,26.614481409001954,20,21,5,4,NA,0,8,19,30,23,14,8,NA,0,13,24,NA,NA,480.2899999999999,423.0799999999999,NA,NA,NA,NA,NA,NA,156.46400000000003,294.64,NA,NA,8,27,NA,NA,13,37,300.57,228.89999999999998,56.39,-61.389999999999986,NA,NA,NA,NA,NA,NA,NA,NA,52,26,33,39,17,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.79999999999998,533.4,NA,NA,NA,NA,NA,NA,43.17999999999999,NA,NA,39.87799999999999,226.05999999999997,NA,54.86399999999999,NA,19.54022988505747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,26,29,8,0,NA,29,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,NA,NA,NA,NA,NA,-74.99000000000001,-4.699999999999998,251.65000000000003,NA,NA,NA,NA,325.12,101.6,355.6,NA,NA,NA,12.7,NA,66.29400000000001,152.4,137.41400000000002,82.80400000000002,90.16999999999999,NA,62.23,42.672,16.93705386112914,60,27.872230808861413,NA,NA,NA,83.05084745762711,NA,NA,18,13,1,NA,NA,NA,NA,28,26,31,7,NA,2,18,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,44,246.95000000000005,171.96000000000004,-79.69000000000001,NA,NA,NA,457.20000000000005,782.32,220.21800000000002,372.61800000000005,289.814,356.10800000000006,47,18,28,23,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,NA,NA,NA,NA,NA,-112.78,1.4000000000000001,218.59999999999997,NA,NA,152.25000000000003,-43.620000000000005,200.66,266.7,172.72,101.6,NA,NA,12.7,76.2,46.22800000000001,24.130000000000003,153.162,287.528,NA,NA,119.126,67.564,18.72427983539095,8.29694323144105,46.99922057677319,73.89033942558746,NA,NA,90.3660886319846,46.9964664310954,NA,23,15,0,NA,NA,4,16,31,28,27,2,NA,NA,12,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.99999999999997,107.21999999999997,-111.38,NA,274.32,541.02,439.41999999999996,640.08,440.69000000000005,464.82000000000005,177.292,223.52,46,16,21,32,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,NA,-169.42999999999998,-150.81,108.34,222.80999999999997,460.28,NA,14.460000000000006,-102.53000000000002,241.29999999999998,685.8,254,0,NA,0,0,508,87.37599999999999,NA,160.528,103.886,NA,41.148,63.246,174.752,26.58423493044822,NA,38.725490196078425,100,NA,100,100,25.5952380952381,29,24,6,0,0,NA,14,17,31,27,19,8,0,NA,23,28,NA,NA,NA,NA,0,508,NA,NA,NA,NA,104.394,279.146,NA,NA,NA,NA,NA,NA,NA,NA,331.15,180.33999999999997,-42.47,-211.9,254,939.8,939.8,1181.1,264.414,NA,NA,NA,55,25,29,34,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,NA,NA,NA,NA,NA,-61.94,189.45,239.17,NA,311.62999999999994,199.43,NA,406.4,381,0,25.4,NA,0,NA,889,79.502,141.224,116.84,76.962,43.434,149.86,29.717999999999996,174.24399999999997,16.3617354939885,27.042801556420237,100,75.18610421836229,NA,100,NA,16.387959866220733,NA,15,2,1,NA,0,1,NA,NA,23,9,3,NA,1,8,NA,NA,NA,511.05999999999995,NA,NA,NA,NA,NA,193.294,223.012,179.578,353.822,NA,NA,1,NA,NA,NA,9,NA,428.62,366.67999999999995,127.50999999999999,NA,25.4,406.4,381,787.4,193.80200000000002,335.02599999999995,258.06399999999996,337.56600000000003,58,29,42,49,22,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,NA,NA,NA,NA,-266.97,-237.47000000000006,-35.84,158.59,449.15999999999997,318.33000000000004,74.14999999999998,-162.21000000000004,647.7,228.59999999999997,444.49999999999994,12.7,NA,0,12.7,571.4999999999999,73.66,35.306,100.07600000000001,95.25,187.19799999999998,226.06,59.182,59.69,10.211267605633802,13.378248315688163,18.376865671641795,88.23529411764706,NA,100,82.3321554770318,9.456740442655938,30,26,18,3,0,1,12,27,30,28,26,13,1,3,18,30,767.49,841.64,392.48,230.26999999999998,12.7,584.1999999999999,NA,NA,413.258,472.44,285.242,344.932,1,13,13,40,4,22,21,51,122.75,-114.72000000000006,-273.31000000000006,-540.2800000000001,457.19999999999993,685.8,673.0999999999999,1320.8,195.32600000000002,230.632,135.382,209.042,40,13,15,22,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,NA,-201.37,-252.22,7.199999999999989,221.69,470.54999999999995,262.4700000000001,48.339999999999996,-199.73999999999998,901.7,279.4,88.9,0,NA,NA,266.7,520.7,116.83999999999999,26.669999999999998,72.136,57.912,193.04,104.90200000000002,32.257999999999996,57.658,11.471321695760595,8.71369294605809,44.79495268138801,100,NA,NA,10.790144435004247,9.96925779534475,26,28,19,1,0,1,10,27,29,28,22,11,0,4,20,31,733.02,781.36,310.81000000000006,111.07000000000008,NA,NA,NA,NA,297.942,330.2,137.16000000000003,194.81800000000004,1,11,11,38,4,24,24,55,228.89,-23.330000000000013,-245.02,-446.39000000000004,88.9,368.29999999999995,368.29999999999995,1270,130.048,156.718,98.806,215.646,41,12,12,28,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
