lhs,op,rhs,estimate,estimate_se,z_statistic,pvalue,type,reorder_index
IceInDayofYear_fed_scale,~~,LengthFallMixedPeriod_days_scale,0.8358942331639821,0.26492425990244634,3.155219659655878,0.0016037730985465348,Covariance,1
MeanUnderIce_EpiTemp_degC_scale,~,IceInDayofYear_fed_scale,-0.22677610277547652,0.18859257595117784,-1.202465694270932,0.2291831498283119,Regression,2
MeanUnderIce_EpiTemp_degC_scale,~1,,0.09031623463523572,0.19127427995302365,0.4721818043566396,0.6367970262158642,Intercept,3
MeanUnderIce_HypoTemp_degC_scale,~,IceInDayofYear_fed_scale,-0.42606815210507115,0.16918911550119234,-2.5182952865668744,0.011792441146867505,Regression,4
MeanUnderIce_HypoTemp_degC_scale,~1,,0.10288057374929685,0.17159491077605651,0.5995549243506602,0.5488028954124375,Intercept,5
MeanUnderIce_HypoTemp_degC_scale,~~,MeanUnderIce_EpiTemp_degC_scale,0.7033305880229592,0.215551321466844,3.2629379548069495,0.00110263657175258,Covariance,6
MeanDelta1_11mWaterDensity_kgperm3_scale,~,MeanUnderIce_HypoTemp_degC_scale,-0.8741038035255895,0.3615162065559035,-2.4178827606458118,0.01561110573916058,Regression,7
MeanDelta1_11mWaterDensity_kgperm3_scale,~,MeanUnderIce_EpiTemp_degC_scale,1.2670716404092113,0.3541499937729493,3.5777824726478724,3.4652164618598214e-4,Regression,8
MeanDelta1_11mWaterDensity_kgperm3_scale,~1,,0.00526610862273242,0.16317608981732257,0.032272550645305244,0.9742546992102645,Intercept,9
MeanHeatContent_MegaJoules_scale,~,MeanUnderIce_HypoTemp_degC_scale,0.42515323099149416,0.029278940324400007,14.520786144612853,0,Regression,10
MeanHeatContent_MegaJoules_scale,~,MeanUnderIce_EpiTemp_degC_scale,0.6093823674133351,0.031849134387882914,19.133404380534003,0,Regression,11
MeanHeatContent_MegaJoules_scale,~,MeanDelta1_11mWaterDensity_kgperm3_scale,-0.04575439991000732,0.014824613291448992,-3.0863806704758354,0.0020260925187136625,Regression,12
MeanHeatContent_MegaJoules_scale,~1,,0.006955095209864862,0.011850998397395843,0.5868784195762937,0.5572853643892444,Intercept,13
IceOutDayofYear_fed_scale,~,MeanDelta1_11mWaterDensity_kgperm3_scale,-0.1156766907686614,0.2290924661497741,-0.5049345040139176,0.613604838744584,Regression,14
IceOutDayofYear_fed_scale,~,MeanUnderIce_EpiTemp_degC_scale,-0.0012298736602775469,1.6788684741531636,-7.325610547889442e-4,0.9994155008968166,Regression,15
IceOutDayofYear_fed_scale,~,MeanUnderIce_HypoTemp_degC_scale,0.8720873039922248,1.1975449802276723,0.7282292677026855,0.4664732525424822,Regression,16
IceOutDayofYear_fed_scale,~,MeanHeatContent_MegaJoules_scale,-0.8080996001916059,2.6689363161109414,-0.30277964869882457,0.7620577938468622,Regression,17
IceOutDayofYear_fed_scale,~1,,0.01057733318471124,0.18950264856681961,0.055816281538575006,0.9554881643718247,Intercept,18
IceOutDayofYear_fed_scale,~~,LengthSpringMixedPeriod_days_scale,-0.4938166158684537,0.20289295876534771,-2.4338775424906127,0.014938047894723194,Covariance,19
